BT BATOK EAST AVE 3 229-2,99,650229,1985,2,63,4320.9,"Hillview, Dairy Farm, Bukit Panjang, Choa Chu Kang",HDB,1.34827660376884,103.754680867021,36711.234017340925,19248.49459105586,-2.9,-9.0,3845.8,0,0,0,2
BT BATOK ST 21 217-2,99,650217,1984,2,62,4289.6,"Hillview, Dairy Farm, Bukit Panjang, Choa Chu Kang",HDB,1.34673392184416,103.754727840299,36540.65180319634,19253.716695954114,-0.2,-5.6,3910.4,0,0,0,2
BT BATOK WEST AVE 2 421-2,99,650421,1988,2,66,3981.6,"Hillview, Dairy Farm, Bukit Panjang, Choa Chu Kang",HDB,1.36251752917876,103.744946684475,38285.9619193983,18165.24464852768,-0.8,-7.3,3691.2,0,0,1,1
BT BATOK WEST AVE 4 414-2,99,650414,1987,2,65,3816.4,"Hillview, Dairy Farm, Bukit Panjang, Choa Chu Kang",HDB,1.36357610603461,103.74597741135,38403.009907441534,18279.956795652142,12.0,5.3,3972.6,0,0,0,1
BT BATOK EAST AVE 4 269-2,99,650269,1986,2,64,4500.0,"Hillview, Dairy Farm, Bukit Panjang, Choa Chu Kang",HDB,1.3487578841922,103.759451695253,36764.434962672356,19779.436795207148,0.4,-14.3,3857.1,0,0,0,0
BT BATOK ST 11 152-2,99,650152,1998,2,76,4201.5,"Hillview, Dairy Farm, Bukit Panjang, Choa Chu Kang",HDB,1.34830189530173,103.744257268105,36714.070581434215,18088.46282508684,-5.9,-18.4,3582.1,0,0,2,3
BT BATOK WEST AVE 6 146-2,99,650146,1984,2,62,4313.7,"Hillview, Dairy Farm, Bukit Panjang, Choa Chu Kang",HDB,1.34966890869827,103.744083499088,36865.22883158005,18069.12978617563,10.2,-4.9,4000.0,0,0,2,3
BT BATOK ST 51 533-2,99,650533,1988,2,66,4155.8,"Hillview, Dairy Farm, Bukit Panjang, Choa Chu Kang",HDB,1.35587908699049,103.749799126312,37551.896785226614,18705.239522328906,2.8,2.3,4358.3,0,0,1,2
BT BATOK ST 52 540-2,99,650540,1987,2,65,4099.3,"Hillview, Dairy Farm, Bukit Panjang, Choa Chu Kang",HDB,1.35440568176535,103.75130601487,37388.969253361814,18872.93359578942,-7.9,-9.7,3575.3,0,0,0,2
BT BATOK EAST AVE 5 239-2,99,650239,1985,2,63,4395.5,"Hillview, Dairy Farm, Bukit Panjang, Choa Chu Kang",HDB,1.3502391390638,103.755100850762,36928.23984231446,19295.24113101822,-2.2,-6.2,3910.4,0,0,0,1
BT BATOK ST 32 316-2,99,650316,1986,2,64,4294.1,"Hillview, Dairy Farm, Bukit Panjang, Choa Chu Kang",HDB,1.3605766052846,103.746834002944,38071.336580543466,18375.273521585714,-0.3,-12.5,3705.9,0,0,1,1
BT BATOK EAST AVE 5 250-2,99,650250,1985,2,63,4068.5,"Hillview, Dairy Farm, Bukit Panjang, Choa Chu Kang",HDB,1.35105549277865,103.757080302123,37018.501149053314,19515.534906442157,7.1,1.4,3945.2,0,0,0,1
BT BATOK ST 11 164-2,99,650164,1984,2,62,4205.5,"Hillview, Dairy Farm, Bukit Panjang, Choa Chu Kang",HDB,1.34771697477219,103.742831711054,36649.39882697294,17929.811584239895,-1.0,-10.9,3630.1,0,0,2,3
BT BATOK WEST AVE 8 167-2,99,650167,1984,2,62,4193.7,"Hillview, Dairy Farm, Bukit Panjang, Choa Chu Kang",HDB,1.34693272783597,103.742257105901,36562.6830815784,17865.861085574506,-2.7,-17.8,3445.9,0,0,2,3
BT BATOK ST 51 534-2,99,650534,1987,2,65,4202.9,"Hillview, Dairy Farm, Bukit Panjang, Choa Chu Kang",HDB,1.35590698154634,103.750411621456,37554.97888320537,18773.403384936617,-8.0,-12.2,3804.3,0,0,1,2
BT BATOK ST 32 311-3,99,650311,1988,3,66,4166.7,"Hillview, Dairy Farm, Bukit Panjang, Choa Chu Kang",HDB,1.36008251500719,103.748341653201,38016.696574191956,18543.055644555647,-5.1,-16.4,3483.1,0,0,1,1
BT BATOK WEST AVE 4 408-3,99,650408,1988,3,66,3904.3,"Hillview, Dairy Farm, Bukit Panjang, Choa Chu Kang",HDB,1.36481977758189,103.744989792545,38540.532945481296,18170.051416231498,-1.1,-10.0,3457.4,0,0,0,1
BT BATOK CTRL 124-3,99,650124,1985,3,63,4193.5,"Hillview, Dairy Farm, Bukit Panjang, Choa Chu Kang",HDB,1.35118204905854,103.747209859564,37032.53181236833,18417.06507159824,0.0,-3.2,4061.2,0,0,1,3
BT BATOK ST 25 288D-3,99,653288,1998,3,76,4332.6,"Hillview, Dairy Farm, Bukit Panjang, Choa Chu Kang",HDB,1.3458030481768,103.759260051639,36437.70466992366,19758.09904721642,-10.1,-15.3,3766.3,0,0,0,1
BT BATOK WEST AVE 6 113-3,99,650113,1984,3,62,4399.0,"Hillview, Dairy Farm, Bukit Panjang, Choa Chu Kang",HDB,1.34883637963314,103.745173404083,36773.16748785045,18190.42083097188,1.2,-10.1,3846.2,0,0,1,3
BT BATOK ST 11 164-3,99,650164,1984,3,62,3866.7,"Hillview, Dairy Farm, Bukit Panjang, Choa Chu Kang",HDB,1.34771697477219,103.742831711054,36649.39882697294,17929.811584239895,-7.5,-8.9,3524.0,0,0,2,3
BT BATOK ST 34 337-3,99,650337,1986,3,64,3750.0,"Hillview, Dairy Farm, Bukit Panjang, Choa Chu Kang",HDB,1.36348296381773,103.749393361059,38392.69718163771,18660.111683886193,4.3,-4.2,3821.4,0,0,0,1
BT BATOK WEST AVE 8 165-3,99,650165,1984,3,62,3966.7,"Hillview, Dairy Farm, Bukit Panjang, Choa Chu Kang",HDB,1.34731985631579,103.741974986591,36605.49100014554,17834.465891843185,5.4,-9.4,3592.6,0,0,2,3
BT BATOK EAST AVE 3 290D-3,99,651290,1998,3,76,4337.5,"Hillview, Dairy Farm, Bukit Panjang, Choa Chu Kang",HDB,1.34441150327744,103.757461503148,36283.84076471042,19557.93544829561,-9.3,-4.2,3874.4,0,0,0,0
BT BATOK ST 24 291D-3,99,653291,1998,3,76,4149.0,"Hillview, Dairy Farm, Bukit Panjang, Choa Chu Kang",HDB,1.34351790618134,103.755391787516,36185.038529129975,19327.595395991113,6.1,6.0,4290.9,0,0,0,2
BT BATOK WEST AVE 5 384-3,99,650384,2005,3,83,5060.0,"Hillview, Dairy Farm, Bukit Panjang, Choa Chu Kang",HDB,1.36293263679642,103.752194207305,38331.834077834115,18971.811047274816,3.3,-0.4,5035.6,0,0,0,1
BT BATOK ST 21 207-3,99,650207,1983,3,61,4412.4,"Hillview, Dairy Farm, Bukit Panjang, Choa Chu Kang",HDB,1.34624866176029,103.749382188265,36487.01400005407,18658.802260678516,-6.1,-12.2,3875.0,0,0,0,3
BT BATOK WEST AVE 6 193-3,99,650193,1997,3,75,4622.9,"Hillview, Dairy Farm, Bukit Panjang, Choa Chu Kang",HDB,1.34600894344316,103.744423616373,36460.52669938115,18106.966309443567,-0.4,7.0,4593.3,0,0,1,3
BT BATOK EAST AVE 5 243-3,99,650243,1985,3,63,3516.5,"Hillview, Dairy Farm, Bukit Panjang, Choa Chu Kang",HDB,1.34962013436358,103.75643213653,36859.78867606312,19443.396282568647,-8.6,1.1,3558.7,0,0,0,1
BT BATOK WEST AVE 5 388-3,99,650388,2005,3,83,5018.0,"Hillview, Dairy Farm, Bukit Panjang, Choa Chu Kang",HDB,1.3648501756171,103.752161772499,38543.86608611413,18968.208582084833,4.3,-5.0,4856.8,0,0,0,1
BT BATOK WEST AVE 6 102-3,99,650102,1985,3,63,3977.6,"Hillview, Dairy Farm, Bukit Panjang, Choa Chu Kang",HDB,1.34732995877413,103.747343554163,36606.58633793926,18431.928740059513,13.4,13.1,4187.9,0,0,0,3
BT BATOK CTRL 621-3,99,650621,2003,3,81,5472.0,"Hillview, Dairy Farm, Bukit Panjang, Choa Chu Kang",HDB,1.35022916499468,103.748340672674,36927.16221128919,18542.908300091993,-7.8,6.1,6333.3,0,0,1,3
BT BATOK CTRL 622-3,99,650622,2003,3,81,6361.8,"Hillview, Dairy Farm, Bukit Panjang, Choa Chu Kang",HDB,1.35071643799739,103.748496406191,36981.04182535245,18560.24159386957,13.8,21.5,7363.9,0,0,1,3
BT BATOK ST 21 202-3,99,650202,1985,3,63,4704.7,"Hillview, Dairy Farm, Bukit Panjang, Choa Chu Kang",HDB,1.3465978583575,103.748448437294,36525.630014754024,18554.887308592726,3.8,-2.0,4336.7,0,0,0,3
BANGKIT RD 251-2,99,670251,1989,2,67,4493.2,"Hillview, Dairy Farm, Bukit Panjang, Choa Chu Kang",HDB,1.38030045457365,103.774174995217,40252.20879388976,21418.062862642397,6.8,-11.7,3815.1,0,0,1,2
SAUJANA RD 409-3,99,670409,1989,3,67,2801.9,"Hillview, Dairy Farm, Bukit Panjang, Choa Chu Kang",HDB,1.38233492640359,103.767677663417,40477.18947587107,20694.997446652742,-0.2,13.9,3192.3,0,0,2,2
PETIR RD 208-3,99,670208,1988,3,66,3057.7,"Hillview, Dairy Farm, Bukit Panjang, Choa Chu Kang",HDB,1.3739808401432,103.775028040256,39553.41524382384,21512.978991754975,19.3,17.5,3886.9,0,0,1,1
BT PANJANG RING RD 435-3,99,670435,1988,3,66,3959.9,"Hillview, Dairy Farm, Bukit Panjang, Choa Chu Kang",HDB,1.38603975530039,103.770196329443,40886.8432988726,20975.304098368037,4.4,-2.1,3716.3,0,0,1,2
SAUJANA RD 412-3,99,670412,1988,3,66,3316.7,"Hillview, Dairy Farm, Bukit Panjang, Choa Chu Kang",HDB,1.38289762281392,103.768275120432,40539.40779837701,20761.48857938202,6.5,4.1,3452.4,0,0,2,2
SEGAR RD 466-3,99,670466,2002,3,80,3944.4,"Hillview, Dairy Farm, Bukit Panjang, Choa Chu Kang",HDB,1.38694295549198,103.773299109481,40986.70567058186,21320.606341637387,-4.8,-9.6,3457.2,0,0,0,2
PETIR RD 140-3,99,670140,1988,3,66,3711.5,"Hillview, Dairy Farm, Bukit Panjang, Choa Chu Kang",HDB,1.37550299063609,103.768952438105,39721.74436979583,20836.84335821465,11.3,10.3,3850.3,0,0,1,2
FAJAR RD 402-3,99,670402,1988,3,66,3509.6,"Hillview, Dairy Farm, Bukit Panjang, Choa Chu Kang",HDB,1.38031226320181,103.768073595,40253.532291746444,20739.05349578127,11.9,6.3,3634.5,0,0,1,2
PETIR RD 207-3,99,670207,1988,3,66,3576.9,"Hillview, Dairy Farm, Bukit Panjang, Choa Chu Kang",HDB,1.3737070355011,103.774851276857,39523.1397839146,21493.30664869321,-14.7,-15.8,3012.0,0,0,1,1
