B87,39449.3971,33644.4324
B88,39683.2391,33835.9985
B89,39568.2194,34796.4641
B9,39184.2416,34709.4842
B90,39831.9791,33865.2621
B91,37007.0862,34999.6210
B92,39197.6251,33772.3265
B93,39224.3984,33631.2777
B94,38688.1313,34940.2851
B94A,38668.2981,34834.5151
B95,39325.3283,34194.2403
B96,39088.1581,34133.7804
B97,38037.1417,35371.0192
B98,37860.0561,35362.5681
B99M,37954.0727,34412.5835
CAM,24092.2494,31574.3039
CCKC,18254.4236,40780.2921
CCM,24269.3904,31777.7395
CC1,37970.7792,34316.7372
CC10,38267.4015,34545.0259
CC11,37828.6078,34590.3599
CC12,38194.9297,34332.7592
CC4,37801.1879,34221.6662
CC5,38025.2345,34117.8358
CC6,38043.4844,33973.1328
CC7,38279.7170,34164.7007
CC8,37584.5733,34347.0451
CC9,38313.9557,34438.2547
CDM,23934.8536,31553.8887
CKM1,17706.6149,40616.7716
CKM2,18365.5150,42251.9840
CKM3,17241.0610,40350.4217
CKM4,17384.4024,40068.5078
CKM5,17135.7982,40142.8636
CKM6,17141.5616,39946.6052
CKM7,17288.8253,39773.8970
CKM8,17432.5108,39671.7658
CKM9,17981.6699,39927.7497
CKT1,17457.2727,40253.9548
CKT2,17990.9205,40845.4338
CK1,19169.1019,39939.7774
CK10,18219.6466,40274.8980
CK11,17822.7967,40079.0923
CK12,17816.8828,40361.3125
CK13,17841.9170,40541.6160
CK14,17896.2294,40234.6907
CK15,17716.2981,40045.0820
CK16,17528.1250,40178.0781
CK17,17691.7227,40448.3320
CK18,18797.0391,40329.4648
CK19,18875.7734,40272.4492
CK2,18880.3320,40136.4375
CK20,17629.7003,40593.1789
CK22,18276.2056,40644.1197
CK23,17782.5234,40677.3633
CK24,17983.1711,40586.8844
CK25,18031.4590,40472.3086
CK26,17943.7793,40730.3711
CK28,18079.0694,40228.4669
CK29,18072.2888,40190.9725
CK3,18734.6348,40064.9164
CK3A,18725.4974,40162.9532
CK30,18213.6543,40111.7031
CK31,18164.3898,40080.8939
CK32,18055.7989,39931.0181
CK33,17943.2973,41180.8424
CK34,17736.9363,41167.5327
CK35,17881.6424,41361.0029
CK36,17735.8704,41577.6177
CK37,17863.0257,41773.0092
CK38,18151.9184,41658.5467
CK39,18090.9450,42004.5732
CK4,18912.6962,40234.9502
CK4A,18972.5753,40347.8975
CK40,18298.9982,41919.8106
CK41,18333.4408,41430.6980
CK42,18363.8684,41631.0171
CK44,18631.6662,41611.0810
CK45,18724.0529,41824.3887
CK46,18675.6762,41907.1414
CK47,18471.7225,41904.1787
CK48,18196.0083,42140.2746
CK49,18008.2896,42291.7925
CK5,19030.3926,40238.9180
CK50,18036.1139,42476.1452
CK51,18458.5966,42391.0123
CK52,18754.0711,42503.4389
CK53,18748.5050,42602.4434
CK54,18629.4583,42224.5521
CK55,18561.8248,42111.2701
CK56,18357.2650,42562.8339
CK57,18541.2289,42678.1909
CK58,18157.8829,42638.4707
CK59,17841.6171,39866.5767
CK6,19073.3023,40300.0728
CK6A,19076.7918,40333.5431
CK60,18268.5950,42905.4416
CK61,18607.3210,42882.7597
CK62,18715.5324,42855.1194
CK63,18826.1888,42747.1959
CK64,18872.7705,42404.3378
CK65,18064.0069,41548.1433
CK66,18230.9826,41763.9633
CK7,18945.8673,40250.2699
CK70,17408.5254,39880.0108
CK71,17467.9916,39852.8673
CK72,17718.3450,39728.0193
CK73,17994.5933,39697.5018
CK74,17975.1882,39477.9306
CK75,18119.3938,39664.2718
CK76,18305.5202,39560.1044
CK77,18361.9468,39838.3954
CK78,18660.8389,39885.9891
CK8,18405.5916,40449.7464
CK8A,18614.0227,40353.8181
CK9,18162.1088,40384.5044
CK9A,18449.8356,40217.8144
CLM,25894.5957,30541.7316
CLRG,20283.9283,33479.4070
CLTR,20411.5945,33513.7467
CM1,28656.4003,28548.6200
CR1,31337.5185,31734.6056
CR1A,31521.2359,31781.8809
CR1B,31565.7734,31819.2245
CR2,31599.1055,31890.8184
CR29,30612.5155,32012.4666
CR3,31450.7070,31933.4004
CR30,30406.3770,32213.3125
CR31,30379.3535,32063.9883
CR4,31351.9277,31854.1587
CR5,31218.4922,31730.7441
CR6,31342.5234,31983.7852
CR7,31229.7422,31984.8511
CSM,28873.2635,29983.8819
CTM1,20293.6227,33003.4096
CVBK,31083.7452,33199.2328
CV1,45233.8667,41140.4649
CV2,45212.8158,41314.4339
CV3,45045.6516,41323.3393
CV4,45264.5806,41344.1397
CY,30264.3593,31442.1456
C10,20837.8461,33414.5726
C11,20523.8542,33130.6004
C12,20519.9139,33782.4237
C13M,20528.1198,33646.8063
C14M,20417.4455,33296.1766
C15M,20278.0675,33166.8296
C16,20116.5191,32955.7857
C17,20273.9935,32905.3373
C18,20215.8784,32729.9597
C18A,20306.3068,32672.9468
C19M,20269.3220,32850.6337
C20,20425.9232,32848.9500
C20M,20469.2131,32645.0967
C21L,20624.0039,32590.9865
C21M,20566.6991,32662.4476
C22M,20977.2537,33777.6046
C24,21096.4707,34048.6484
C25,20848.1597,33849.0783
C26,20945.3775,33870.6421
C27,21010.3372,33832.4370
C28,20211.4950,33712.5638
C28M,20070.9020,33845.6740
